sentiment,category
0.9537,nonprofit
0.9918,nonprofit
0.9669,nonprofit
0.8442,nonprofit
0.9652,nonprofit
0.7177,nonprofit
0.0516,nonprofit
0.0516,nonprofit
0.6166,nonprofit
0.4588,nonprofit
0.4939,nonprofit
0.9495,nonprofit
0.9729,nonprofit
0.6166,nonprofit
0.965,nonprofit
0.9169,nonprofit
0.7003,nonprofit
0.1027,nonprofit
0.1027,nonprofit
0.8066,nonprofit
0.8948,nonprofit
0.9776,nonprofit
0.9869,nonprofit
0.9601,nonprofit
0.9804,nonprofit
0.92,nonprofit
0.962,nonprofit
0.95,nonprofit
0.9702,nonprofit
0.9348,nonprofit
0.5937,nonprofit
0.4939,nonprofit
0.9962,nonprofit
0.986,nonprofit
0.3182,nonprofit
-0.4215,nonprofit
0.0,nonprofit
0.6124,nonprofit
0.0,nonprofit
0.0,nonprofit
0.5434,nonprofit
0.8774,nonprofit
0.6933,nonprofit
0.6688,nonprofit
-0.9994,nonprofit
0.3786,nonprofit
0.9129,nonprofit
0.9827,nonprofit
0.0,nonprofit
0.0,nonprofit
-0.1027,nonprofit
0.9908,nonprofit
0.9923,nonprofit
0.2732,nonprofit
-0.7506,nonprofit
-0.7506,nonprofit
-0.7506,nonprofit
-0.25,nonprofit
0.8926,nonprofit
0.9299,nonprofit
0.9299,nonprofit
-0.5719,nonprofit
0.0,nonprofit
0.4215,nonprofit
0.126,nonprofit
0.126,nonprofit
0.126,nonprofit
0.8687,nonprofit
0.9098,nonprofit
0.3595,nonprofit
0.296,nonprofit
0.9403,nonprofit
0.9299,nonprofit
0.8217,nonprofit
0.0,nonprofit
0.8126,nonprofit
0.986,nonprofit
0.9575,nonprofit
0.743,nonprofit
0.743,nonprofit
0.7574,nonprofit
0.6696,nonprofit
0.9273,nonprofit
-0.2942,nonprofit
0.9169,nonprofit
0.9215,nonprofit
0.9516,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
-0.2244,nonprofit
0.0836,nonprofit
0.0,nonprofit
0.6124,nonprofit
0.5106,nonprofit
0.9194,nonprofit
0.0,nonprofit
-0.2244,nonprofit
-0.508,nonprofit
0.944,nonprofit
0.7184,nonprofit
0.9504,nonprofit
0.9595,nonprofit
0.9778,nonprofit
0.9849,nonprofit
0.5563,nonprofit
-0.6705,nonprofit
-0.6705,nonprofit
0.765,nonprofit
0.1531,nonprofit
0.5729,nonprofit
0.6369,nonprofit
0.8689,nonprofit
0.9877,nonprofit
0.6369,nonprofit
0.6369,nonprofit
0.4199,nonprofit
0.901,nonprofit
-0.2023,nonprofit
-0.5859,nonprofit
-0.5859,nonprofit
-0.5859,nonprofit
0.2483,nonprofit
0.0,nonprofit
0.7351,nonprofit
0.9403,nonprofit
0.9622,nonprofit
0.4939,nonprofit
0.0,nonprofit
0.6514,nonprofit
0.9391,nonprofit
0.6486,nonprofit
-0.128,nonprofit
0.0,nonprofit
0.8106,nonprofit
0.5719,nonprofit
0.0,nonprofit
0.9844,nonprofit
0.9752,nonprofit
0.9752,nonprofit
0.9752,nonprofit
0.9335,nonprofit
0.9335,nonprofit
0.9286,nonprofit
0.9509,nonprofit
0.9509,nonprofit
0.3578,nonprofit
0.9686,nonprofit
0.9,nonprofit
0.5574,nonprofit
0.8779,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
0.0,nonprofit
0.6486,nonprofit
0.0,nonprofit
0.9459,nonprofit
0.0,nonprofit
0.0,nonprofit
0.8555,nonprofit
0.9641,nonprofit
0.9641,nonprofit
-0.3164,nonprofit
0.8547,nonprofit
0.9638,nonprofit
0.9638,nonprofit
0.8967,nonprofit
0.8967,nonprofit
0.5719,nonprofit
0.9627,nonprofit
0.9627,nonprofit
0.0,nonprofit
0.8555,nonprofit
0.8271,nonprofit
0.8398,nonprofit
0.9537,nonprofit
0.4184,nonprofit
0.0,nonprofit
0.0,nonprofit
-0.25,nonprofit
-0.25,nonprofit
0.7783,nonprofit
0.7783,nonprofit
0.0,nonprofit
0.0,nonprofit
0.8966,nonprofit
-0.6956,nonprofit
0.3818,nonprofit
0.662,nonprofit
-0.4184,nonprofit
0.5849,nonprofit
-0.25,nonprofit
-0.4215,nonprofit
0.6467,nonprofit
0.0516,nonprofit
0.5106,nonprofit
0.0516,nonprofit
0.5106,nonprofit
0.8402,nonprofit
0.4019,nonprofit
-0.6072,nonprofit
0.9977,nonprofit
0.128,nonprofit
0.0,nonprofit
0.7783,nonprofit
-0.6072,nonprofit
0.0,nonprofit
0.7184,nonprofit
-0.0516,nonprofit
-0.128,nonprofit
-0.4215,nonprofit
0.7783,nonprofit
0.2023,nonprofit
0.2023,nonprofit
0.6249,nonprofit
0.2023,nonprofit
0.2023,nonprofit
0.0,nonprofit
